"county","state","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance"
"Rensselaer","NY",92344,5.4,75.2,36.8,3.4
"Richmond","NY",113518,5.5,71.3,35.4,4.1
"Rockland","NY",131861,6,63.6,44.7,4.3
"Saratoga","NY",113925,3.6,82.2,31.4,2.7
"Schenectady","NY",87640,6.9,71,39.9,3.9
"Schoharie","NY",80973,5.8,71.2,45.1,4
"Schuyler","NY",72271,5.7,65.4,47.2,4.6
"Seneca","NY",76224,3.7,68.8,41.5,8.9
"St. Lawrence","NY",69949,6.3,68.9,42.7,5.6
"Steuben","NY",77070,6.3,65.5,45.1,5.5
"Suffolk","NY",142864,4.8,79.2,30.4,4.2
"Sullivan","NY",85213,8,65.2,45.9,5.4
"Tioga","NY",81343,5.9,70.3,43.5,3.1
"Tompkins","NY",91552,4.7,78.9,31,3.6
"Ulster","NY",96445,5.1,68.1,41.4,5.4
"Warren","NY",92654,4.2,74.2,41.8,4
"Washington","NY",75935,5.7,64.8,46.2,5.2
"Wayne","NY",80307,4.1,70.5,40,5.2
"Westchester","NY",165797,6.1,75.7,32.1,5.1
"Wyoming","NY",75597,4.1,70.8,41.5,3.8
"Yates","NY",76322,3.2,53.6,43.3,17.3
"Adams","OH",64474,6.5,53.5,49.5,8.6
"Allen","OH",69845,6.1,68.5,39.8,6.6
"Ashland","OH",73246,3.6,70.7,36.6,8.6
"Ashtabula","OH",65004,7.6,59.2,45.7,9.6
"Athens","OH",64958,5.8,71.6,33.2,6
"Auglaize","OH",82845,3.3,81.8,29.2,4
"Belmont","OH",70378,5.4,66.4,41.3,6
"Brown","OH",73506,4.5,63.3,42.8,7
"Butler","OH",91692,5.2,72.6,31.9,6.2
"Carroll","OH",72970,3.6,67.4,39.4,9.4
"Champaign","OH",74765,5.8,74.3,35.9,4.9
"Clark","OH",69009,7.1,63.2,45.8,6.5
"Clermont","OH",95073,4.2,72.8,33.5,5.6
"Clinton","OH",74075,6,66.7,41.3,6.2
"Columbiana","OH",68108,4.9,64.6,42.1,6.4
"Coshocton","OH",62124,6.9,59.5,45.9,11.2
"Crawford","OH",64467,5.7,64.8,44.4,6.5
"Cuyahoga","OH",81542,7.5,64.5,42,5.5
"Darke","OH",73406,2.4,70.6,38,7
"Defiance","OH",80425,5.1,76.8,33.8,6.3
"Delaware","OH",142571,2.8,85.8,19.7,4.3
"Erie","OH",81487,5.6,71.9,39.5,5.8
"Fairfield","OH",94515,4.1,73.1,32.3,6.2
"Fayette","OH",67761,5.3,62.5,43.5,7.2
"Franklin","OH",90206,4.8,68.2,32.6,7.8
"Fulton","OH",80970,3.8,75.3,34.1,5.4
"Gallia","OH",67452,4.6,57.6,45.3,10.6
"Geauga","OH",122592,3.1,77.5,27.7,8.4
"Greene","OH",96842,4.7,76.3,33.1,4.9
"Guernsey","OH",63353,4.9,61.1,43.9,10.4
"Hamilton","OH",91495,5.1,69.4,35.4,5.7
"Hancock","OH",81728,3.7,76.7,33.1,4.7
"Hardin","OH",64987,4.7,65.9,37.4,10.9
"Harrison","OH",66483,5.5,55.1,46.1,12.3
"Henry","OH",77922,4.8,75,35.5,5.4
"Highland","OH",63918,5.2,57.6,45.3,10.5
"Hocking","OH",69482,4,62,48,6.4
"Holmes","OH",89831,2.2,45,19.9,41.9
"Huron","OH",70060,4.3,71.1,38.2,6.3
"Jackson","OH",65671,7.3,60.1,46.3,6.6
"Jefferson","OH",66348,6,65.3,42.9,5.4
"Knox","OH",76882,3,66.7,36.3,9.6
"Lake","OH",87706,4.8,75.4,33.9,5.1
"Lawrence","OH",63050,4.6,58.5,51.3,5.2
"Licking","OH",93415,3.6,72.6,35.8,5.7
"Logan","OH",81331,4.4,73.3,38.3,4.9
"Lorain","OH",83090,4.7,71.2,37.9,5.3
"Lucas","OH",74852,7.3,66,41.6,6
"Madison","OH",87237,3.1,72.1,35.5,6.2
"Mahoning","OH",69698,7.9,61,46.8,5
"Marion","OH",69977,5.8,61.5,47,5.6
"Medina","OH",103374,2.8,80.3,28.8,3.5
"Meigs","OH",60177,7.5,57,50.4,7.9
"Mercer","OH",84205,2.4,80.7,28.7,4.1
"Miami","OH",83925,3.7,75.1,34.5,4.9
"Monroe","OH",72174,5.5,64.8,45.7,8.2
"Montgomery","OH",76033,6.1,65,40.8,6.8
"Morgan","OH",55853,4.1,57.9,48.5,6.9
"Morrow","OH",78339,3.2,66.6,36,11
"Muskingum","OH",71276,4.5,61.7,44.1,6.3
"Noble","OH",70433,4.8,58.9,53,7.5
"Ottawa","OH",90346,3.9,77.1,38.5,4
"Paulding","OH",74850,4.3,70.6,39.3,5.5
"Perry","OH",69155,4.9,60.2,45.1,6.7
"Pickaway","OH",80741,4.2,70,36.4,5.9
"Pike","OH",70167,5.2,57.7,52.7,4.1
"Portage","OH",84463,5.9,73.2,33.5,5.7
"Preble","OH",76123,3.1,71,37.1,5.1
"Putnam","OH",86945,2.6,83.8,26.8,2.7
"Richland","OH",67852,5.3,66.2,42.9,7.7
"Ross","OH",69245,6,65.2,43.9,6
"Sandusky","OH",72745,5.5,68.4,40.6,6
"Scioto","OH",60872,7.9,55.1,52.4,6.3
"Seneca","OH",71930,3.9,70.9,37.7,5.3
"Shelby","OH",82156,5.2,75.8,31.7,4.9
"Stark","OH",75786,4.9,67.7,40.6,6.2
"Summit","OH",87057,5.7,68.7,38.6,5.5
"Trumbull","OH",65668,4.9,59.2,47.6,7
"Tuscarawas","OH",71203,5.6,67.8,37.9,8.3
"Union","OH",121977,3,85,20.9,4.7
"Van Wert","OH",71355,4.9,77,36.1,4
"Vinton","OH",62779,4.9,51.6,50.2,8.8
"Warren","OH",125197,3.5,83.8,23.4,3.6
"Washington","OH",73594,5.3,65.8,44,7
"Wayne","OH",79977,3.6,67.4,31.7,14.1
"Williams","OH",68335,3.4,70.7,40.1,5.3
"Wood","OH",87859,5.2,80.8,27.4,4.3
"Wyandot","OH",74030,2.7,77.9,33.6,4
"Adair","OK",50369,5.6,37.9,47.4,25.2
"Alfalfa","OK",74308,3.6,71.6,35.9,11.1
"Atoka","OK",63775,6,49.7,44.4,20.4
"Beaver","OK",72100,3.6,67.5,33.5,13.8
"Beckham","OK",68213,6.5,64.3,31.5,16.2
"Blaine","OK",77722,6.4,63.8,41.8,11.7
"Bryan","OK",67281,5.3,55.9,36.6,19.9
"Caddo","OK",61793,6.9,50.7,43,18.5
"Canadian","OK",91770,3.7,75.2,26.8,10
"Carter","OK",69489,4.5,57.7,38.1,16.3
"Cherokee","OK",62916,6.5,53.8,36.2,21.8
"Choctaw","OK",55029,7.5,47.7,47.5,19.1
"Cimarron","OK",76834,0.6,56.1,39.2,18.6
"Cleveland","OK",86156,4.6,74.8,28.9,10.3
"Coal","OK",59891,6.3,47.3,42.7,23.8
"Comanche","OK",72829,6.7,67.1,36.2,13.2
"Cotton","OK",73224,4.1,58.9,42.2,12.9
"Craig","OK",57829,5.4,56.2,41.1,17
"Creek","OK",72764,4,63.3,37.6,12.3
"Custer","OK",76795,2.7,71.2,30.1,10.8
"Delaware","OK",64520,6.4,53.3,46,18.2
"Dewey","OK",78580,4.7,59.7,33.4,18
"Ellis","OK",67672,7.3,64.4,37.1,15.1
"Garfield","OK",75966,3.9,64,32.9,16
"Garvin","OK",66313,3.3,58.9,38.1,17.6
"Grady","OK",84544,4.5,66.4,33.4,12.5
"Grant","OK",74758,3.1,64.2,39.8,11.3
"Greer","OK",59590,6.9,56,44.2,14.9
"Harmon","OK",72570,5.5,53.7,42.2,19.8
"Harper","OK",60468,4.1,64.1,38.9,13.9
"Haskell","OK",59329,8.6,48.5,47,18.5
"Hughes","OK",61783,7.4,54.7,41.3,19.7
"Jackson","OK",70855,4.3,68.1,33.2,13.7
"Jefferson","OK",61418,5.1,48.5,48.3,15.2
"Johnston","OK",59812,6.3,52.9,45.5,16.7
"Kay","OK",67842,6.4,61.3,41.9,12.7
"Kingfisher","OK",85433,3.1,70.1,29.1,14.6
"Kiowa","OK",54257,4.3,58,42.9,13.7
"Latimer","OK",62563,8.9,49.7,43.6,21.2
"Le Flore","OK",57860,5.5,48,44.7,19
"Lincoln","OK",70904,3.5,62.7,38.9,13.5
"Logan","OK",103779,3.4,70.9,29.9,12.5
"Love","OK",66481,5.4,61.4,36.6,15
"Major","OK",71819,1.8,69.1,35.4,12.6
"Marshall","OK",66314,4.7,51.9,44.4,18.5
"Mayes","OK",67730,6.1,53.9,41.5,17.6
"McClain","OK",93307,3.8,75.4,28,10.5
"McCurtain","OK",56820,5.4,46,44.3,21.8
"McIntosh","OK",56754,4.9,46.4,46.5,23.7
"Murray","OK",72287,3.3,58.9,39.8,14.1
"Muskogee","OK",62756,6.1,52,43.9,16.1
"Noble","OK",75494,5.2,70.3,38.4,10
"Nowata","OK",62165,5.4,57.3,38.3,18.3
"Okfuskee","OK",56618,5.5,45.9,47.4,20.3
"Oklahoma","OK",84114,4.6,64.7,33.2,14
"Okmulgee","OK",64900,7.5,56.4,42.4,15.6
"Osage","OK",70777,5.7,62.6,40.5,12.9
"Ottawa","OK",56544,4.1,52.3,42.8,17.8
"Pawnee","OK",66931,3.9,59.6,39,15.3
"Payne","OK",62461,4.3,73.7,25.7,12.1
"Pittsburg","OK",66160,7,54.1,43.1,17.6
"Pontotoc","OK",71092,4.3,61.7,33,17.2
"Pottawatomie","OK",69686,5.6,63.9,36.2,13.5
"Pushmataha","OK",53695,8.4,47.4,49,21
"Roger Mills","OK",90856,5.7,55,42.8,14.1
"Rogers","OK",89274,5.2,70.8,30.9,11.9
"Seminole","OK",53172,9.1,49.3,41.7,21.4
"Sequoyah","OK",56734,4.9,45.4,45.1,19.8
"Stephens","OK",69178,5.7,57.5,42.2,14.5
"Texas","OK",59112,2.8,62.7,28,17.3
"Tillman","OK",54014,6.6,57.1,43.2,14
"Tulsa","OK",86665,5.6,65.1,32.2,14.2
"Wagoner","OK",85504,5.2,68.7,32.4,12.5
"Washington","OK",76906,4.5,62.8,37.7,13
"Washita","OK",70836,7,62.7,38.2,14.6
"Woods","OK",72655,4.5,74.5,30.6,8.9
"Woodward","OK",73823,5,64.3,33.7,15.7
"Baker","OR",67371,6.4,59.7,55.4,6.9
"Benton","OR",91969,6.3,76.4,32.1,5.2
"Clackamas","OR",116164,4.9,75.9,32.6,5.5
"Clatsop","OR",79802,4.8,63.4,45.3,8.6
"Columbia","OR",88553,5.4,69.4,41.9,5.3
"Coos","OR",71949,6.1,56.4,55.8,7
"Crook","OR",80162,3.9,63.3,48.2,7.6
"Curry","OR",74587,8.7,60.6,60.6,6.5
"Deschutes","OR",99009,5.5,67.8,40.3,7.3
"Douglas","OR",67505,5.9,59.5,53.1,6.2
"Gilliam","OR",62034,5.7,65.3,51,4.1
"Grant","OR",66479,8.3,65,50.9,8
"Harney","OR",59741,7.1,59.3,52.3,6.3
"Hood River","OR",103336,3.7,65.4,40.2,9.2
"Jackson","OR",81053,5.6,62.8,48.1,7
"Jefferson","OR",79301,9.1,58.2,47.9,10.3
"Josephine","OR",71076,7.6,52.6,59,7.9
"Klamath","OR",66571,7.4,54.2,53.4,8.3
"Lake","OR",62360,6.3,56.9,51.5,8.1
"Lane","OR",79932,7,63.8,44.2,6.8
"Lincoln","OR",73239,7,57.1,53.9,9.3
"Linn","OR",75140,7,64.7,43.1,7.4
"Malheur","OR",61392,6.3,51.7,50,10.6
"Marion","OR",83964,5.7,62.2,42.5,8.4
"Morrow","OR",82246,3.5,64.5,42.1,8.4
"Multnomah","OR",104296,5.5,70.5,33.4,6.4
"Polk","OR",92048,5.3,69.9,39.9,5.2
"Sherman","OR",69881,2.5,61.9,50.1,4.2
"Tillamook","OR",72344,4.8,63.8,52.7,6.2
"Umatilla","OR",76368,6.4,65.9,42.9,6.4
"Union","OR",70487,6.3,64.6,45.4,7.2
"Wallowa","OR",78110,5.2,64.2,50,7.4
"Wasco","OR",83885,6.8,61.5,47.6,8.4
"Washington","OR",115631,4.6,77.2,28,5.7
"Wheeler","OR",56275,4.1,48.6,64.3,5.7
"Yamhill","OR",95069,3.7,70.2,39.5,6.1
"Adams","PA",87952,3.5,76.7,34.5,6.1
"Allegheny","PA",94114,5.1,76.9,34.3,3.9
"Armstrong","PA",71461,5.7,73.7,42.5,4
"Beaver","PA",78741,5.6,73.9,40.4,3.9
"Bedford","PA",67009,4.7,66.5,44,7.4
"Berks","PA",89737,5.7,70.5,37.4,6.3
"Blair","PA",72457,4.8,68.5,44.4,5.3
"Bradford","PA",71892,5.2,69.6,40.7,7.1
"Bucks","PA",129875,4.6,81.5,29.4,4
"Butler","PA",100976,4.8,81,31.7,3.5
"Cambria","PA",67322,5.3,70.4,45,3.8
"Cameron","PA",53252,8.7,63.1,59.9,3.2
"Carbon","PA",75375,6.7,68.7,43.3,4.5
"Centre","PA",88528,4.3,82.8,25.8,5.6
"Chester","PA",147132,4.1,82,26.1,4.8
"Clarion","PA",66698,6.3,70.8,38.9,7
"Clearfield","PA",66595,6.4,66.1,47,5.3
"Clinton","PA",67726,5.5,67.8,38.6,9.7
"Columbia","PA",71178,4.9,73.9,36.3,4.1
"Crawford","PA",69987,6.2,65.5,43.3,8.4
"Cumberland","PA",97350,3.5,80.1,31.1,5.5
"Dauphin","PA",88455,4.5,72.7,36.8,5.7
"Delaware","PA",113651,6.6,76.2,33.6,4.9
"Elk","PA",71528,6.2,73.9,44.2,2.9
"Erie","PA",74780,5.9,68.2,42.9,4.4
"Fayette","PA",67876,7.2,65.4,47.1,4.4
"Forest","PA",52134,6.1,59.8,63,6.4
"Franklin","PA",82961,3.8,70.4,36.8,9.3
"Fulton","PA",71344,4.9,71.6,43,5.1
"Greene","PA",73736,4.6,70.8,43.7,4.2
"Huntingdon","PA",70979,5.6,69.7,44.4,5.3
"Indiana","PA",68902,6.7,71.5,38.7,7.1
"Jefferson","PA",66683,5.2,63.8,45.2,7.6
"Juniata","PA",71966,2.8,68.5,35.1,13
"Lackawanna","PA",77855,4.8,70.5,41.2,4.6
"Lancaster","PA",93619,3.4,69.3,32.9,11.7
"Lawrence","PA",69912,6.8,66.3,45.9,5.7
"Lebanon","PA",82196,4.7,69.2,38.6,8.7
"Lehigh","PA",93648,6.1,68.4,37.3,6.4
"Luzerne","PA",74353,5.9,67.6,43.1,5.8
"Lycoming","PA",72694,5.2,70.3,40,5.7
"McKean","PA",68625,6.2,68.5,43.7,4.3
"Mercer","PA",68998,5.8,65.6,46.1,5.5
"Mifflin","PA",67395,4.1,64.8,40.5,12.6
"Monroe","PA",89602,6.3,69.9,37.9,7.1
"Montgomery","PA",136806,4.5,82.9,27.3,3.7
"Montour","PA",90929,2.6,75.2,32.8,5.9
"Northampton","PA",101308,4.8,77.2,33.7,4.3
"Northumberland","PA",67081,4.7,69,42.3,4.7
"Perry","PA",86793,3.4,74.1,34,9.4
"Philadelphia","PA",77454,8.9,57.7,45.8,7.4
"Pike","PA",89113,8.4,74,40.3,5
"Potter","PA",64820,6.2,64.1,49.5,7.2
"Schuylkill","PA",72364,5.8,70.5,41.8,5.6
"Snyder","PA",78450,2.4,70.1,33.7,10.3
"Somerset","PA",69336,5.4,71.9,42.1,6.1
"Sullivan","PA",70557,5.6,62.2,48,6.4
"Susquehanna","PA",81232,6.3,68.4,44.7,6.3
"Tioga","PA",68854,4.7,68.3,44.1,6.5
"Union","PA",91066,3.2,71.6,33.2,10.2
"Venango","PA",68962,7,66.6,47.3,4.9
"Warren","PA",69602,5.2,71.7,43,4.8
"Washington","PA",92956,5.1,76.8,37.4,3.4
"Wayne","PA",72988,5.6,66.7,46.4,6.8
"Westmoreland","PA",84480,5,76,39.5,3.2
"Wyoming","PA",82029,5.4,74.6,41.1,4.6
"York","PA",90037,4.7,75.1,34.7,4.9
"Bristol","RI",132141,4.2,82.4,30.6,1.6
"Kent","RI",101587,4.4,76.1,34.7,3.3
"Newport","RI",120119,6.1,80.3,35.8,3.4
"Providence","RI",87573,6.6,65.5,40.1,5.4
"Washington","RI",115044,6,79.2,33.7,2.5
"Abbeville","SC",65017,4.1,58.3,43.7,11.6
"Aiken","SC",76813,6.7,66.3,39.8,9.7
"Allendale","SC",44598,16.4,50.7,49.5,11.4
"Anderson","SC",76631,5.4,65.5,37.8,10.8
"Bamberg","SC",51949,9.3,56.5,45.4,14.7
"Barnwell","SC",53079,7.9,50.6,50.1,13.1
"Beaufort","SC",105909,3.9,71,40.9,9.6
"Berkeley","SC",89095,4.2,70.2,33.8,10.5
"Calhoun","SC",67693,4.8,62.5,43.2,9.4
"Charleston","SC",108070,3.8,73.3,29.4,9.8
"Cherokee","SC",57711,7,58.6,42.8,12.1
"Chester","SC",60123,5.9,58,43.7,11.3
"Chesterfield","SC",58831,8.2,60.2,43.4,12.1
"Clarendon","SC",63396,10.8,52.1,52.9,10.4
"Colleton","SC",58986,6.3,53.6,43.7,14
"Darlington","SC",63335,6.3,57.3,46.5,8.7
"Dillon","SC",52653,6.5,43.9,52.4,13.5
"Dorchester","SC",85474,5.5,68.9,33.2,11.1
"Edgefield","SC",74336,6.8,65.3,40,9
"Fairfield","SC",65976,6,60.9,45.9,7.6
"Florence","SC",71783,4.6,62,39.7,10.3
"Georgetown","SC",84518,6.8,63.2,49.9,10.8
"Greenville","SC",92330,3.9,69.9,31.3,10.4
"Greenwood","SC",67671,5.7,62.5,41.6,8.8
"Hampton","SC",51952,10.8,52.2,46.5,10.3
"Horry","SC",72359,6.1,59.1,45.5,14.2
"Jasper","SC",66358,7.5,57.3,44.6,13.9
"Kershaw","SC",69490,5.6,67.5,39.2,10.1
"Lancaster","SC",90046,4.9,69.6,37.2,8.5
"Laurens","SC",62736,6.4,56.8,43.4,13.6
"Lee","SC",51409,7.8,55,48.1,11.3
"Lexington","SC",84057,4.7,71.1,33.6,9.6
"Marion","SC",46904,7.2,44.5,51.7,13.9
"Marlboro","SC",44662,9,43.3,53.1,13.2
"McCormick","SC",66921,6.6,56.6,59.4,5.4
"Newberry","SC",68292,4.6,66.5,39.9,9.4
"Oconee","SC",77271,6.1,63.2,45.5,10.3
"Orangeburg","SC",53275,9.5,53.9,48.1,10.6
"Pickens","SC",74074,4.4,69.5,33.9,9.1
"Richland","SC",80529,6.3,70.7,32.9,9.2
"Saluda","SC",61959,4.1,53.8,42.8,17.6
"Spartanburg","SC",75238,5,66,35.7,10.2
"Sumter","SC",64220,8.3,59.7,45.2,11.4
"Union","SC",54815,8.9,56.2,48.3,11.2
"Williamsburg","SC",52442,4.6,54,52.6,9.8
"York","SC",96396,4.9,74.2,29.3,8.5
"Aurora","SD",90938,0.3,74.6,24.2,8.8
"Beadle","SD",73881,2.3,76.3,31.4,4.9
"Bennett","SD",54593,10.6,31.1,50.8,22.9
"Bon Homme","SD",71793,3,75.3,35.5,7.3
"Brookings","SD",74984,4.1,83,19.6,5.2
"Brown","SD",83858,3,76.7,28,7.5
"Brule","SD",81481,3.4,72,30.6,8.7
"Buffalo","SD",41632,18.9,23.6,38.4,41.6
"Butte","SD",65466,9.3,64,38.7,13.7
"Campbell","SD",73232,3.7,71.8,34.6,3.8
"Charles Mix","SD",69585,8.4,54.3,39.2,17.9
"Clark","SD",78917,5.5,74,31.8,7
"Clay","SD",75860,6.5,79.8,24.4,6.4
"Codington","SD",76901,1.5,75.7,29.2,6.8
"Corson","SD",59585,25.2,31.9,50.7,23.8
"Custer","SD",82651,4.3,72,40.6,10.5
"Davison","SD",71374,1.7,69.9,34.2,7.6
"Day","SD",69447,2.2,65.7,40.7,9.2
"Deuel","SD",78838,1.8,71.5,31.7,7.6
"Dewey","SD",59354,18.8,33.2,48,24.2
"Douglas","SD",82656,0.8,67.3,28,15.4
"Edmunds","SD",89305,2.2,78.8,25.7,5.3
"Fall River","SD",61885,3.1,64,46.7,11.6
"Faulk","SD",67561,3.1,81.4,28.8,3.9
"Grant","SD",88519,2.5,78.7,25.7,10.1
"Gregory","SD",65111,3.6,67.6,41.9,7.7
"Haakon","SD",73201,1,59,39.7,13
"Hamlin","SD",82904,2.5,75.6,22.8,9.9
"Hand","SD",77364,0.3,78.8,32.4,3
"Hanson","SD",84054,2.3,83.4,24.1,5
"Harding","SD",75456,2.9,78.9,26.1,7.2
"Hughes","SD",84329,0.9,76.4,29.5,7
"Hutchinson","SD",80281,1.7,76,31.7,4.4
"Hyde","SD",83801,0.9,79.3,29.5,4.2
"Jackson","SD",43481,9.3,30.9,48.7,26.9
"Jerauld","SD",95449,0,68.2,40.6,5.2
"Jones","SD",62128,2.9,59.5,44.8,8.8
"Kingsbury","SD",80651,0.8,76.7,34.7,5.4
"Lake","SD",89590,2.4,77.6,35.5,4.2
"Lawrence","SD",82753,2.6,72.6,34.3,10.6
"Lincoln","SD",117766,1.5,86.4,20.5,4.1
"Lyman","SD",65902,5.9,53.8,36.8,19.9
"Marshall","SD",94856,1.6,77.8,29.4,6.8
"McCook","SD",84409,2.9,76.5,28.3,7.9
"McPherson","SD",86710,2.2,68.4,37.2,7.5
"Meade","SD",77700,3.5,74.1,27.7,11.4
"Mellette","SD",47888,14.1,19.4,46.9,38.1
"Miner","SD",65495,2.3,75.2,32.1,7.1
"Minnehaha","SD",84880,2.5,77,26.3,8.2
"Moody","SD",83120,1.8,77,29.8,7.4
"Oglala Lakota","SD",50525,12.3,13.4,46.4,41.9
"Pennington","SD",84702,2.9,70.8,34.1,11.3
"Perkins","SD",83676,1.9,72.5,34.1,9.1
"Potter","SD",74674,1.6,74.9,37.8,7.8
"Roberts","SD",69107,5,54.1,39.5,21.1
"Sanborn","SD",75156,1.7,75.5,27.6,8.9
"Spink","SD",88036,1.8,76.3,30.2,7.9
"Stanley","SD",98852,0.2,79.3,28.7,6.4
"Sully","SD",78693,0.3,81.2,30.4,5.2
"Todd","SD",36610,15.1,18.2,56.4,27.5
"Tripp","SD",62950,4.9,58.6,47.5,9.9
"Turner","SD",80612,2.6,73.6,32.9,6.8
"Union","SD",107653,3.3,78.8,27.7,6
"Walworth","SD",75586,5.2,67,34.5,10.7
"Yankton","SD",80795,1.8,78.5,30.1,7.7
"Ziebach","SD",66610,32.4,30.3,43.6,30.9
"Anderson","TN",74162,5.2,66.7,41.5,9.6
"Bedford","TN",72030,5.2,59.8,40.4,12.7
"Benton","TN",56514,5.4,54.2,48.8,11.5
"Bledsoe","TN",64000,7.4,52.3,44.7,18.1
"Blount","TN",83241,4.5,69.7,37.5,9.4
"Bradley","TN",72819,5.7,63.2,37.5,11
"Campbell","TN",59489,10.5,54.8,51.7,11.8
"Cannon","TN",67573,3.5,65,37.1,11.3
"Carroll","TN",61013,4.3,60.5,44,11.1
"Carter","TN",57439,7,55.7,45.9,12.2
"Cheatham","TN",83040,4.4,69.8,31.3,10.4
"Chester","TN",60609,7.2,59.1,41,12.6
"Claiborne","TN",56690,6.6,60.8,45.6,8.9
"Clay","TN",53542,4.1,51.6,54.9,10.3
"Cocke","TN",55244,7.8,49.3,52,12
"Coffee","TN",67855,4.2,64.7,39.9,10.2
"Crockett","TN",65228,3.9,59.6,43.8,12.3
"Cumberland","TN",64167,6,61,52.7,8.9
"Davidson","TN",96207,4.8,69,29.2,12.2
"DeKalb","TN",62433,4.7,62,43.4,10.7
"Decatur","TN",63137,10.6,60.7,46.5,9.2
"Dickson","TN",79404,4.5,70.6,32.8,9.2
"Dyer","TN",79242,5.8,63.7,42.9,7.9
"Fayette","TN",93456,6,69.1,37.4,8.9
"Fentress","TN",50910,7.3,49.8,54.1,8.2
"Franklin","TN",72827,3.7,66.6,40.2,9.6
"Gibson","TN",64077,5.1,62.6,41.6,9.6
"Giles","TN",70743,5.3,65.6,43,8.5
"Grainger","TN",60282,5.9,57.1,45.5,11.1
"Greene","TN",64018,5.4,60.7,45.3,9.6
"Grundy","TN",57320,7.8,56.3,42,14.9
"Hamblen","TN",62085,7.3,55.9,46.1,12.1
"Hamilton","TN",88233,4.6,69.4,33.4,9.7
"Hancock","TN",57955,8.8,43.7,58.4,9.8
"Hardeman","TN",55766,12.2,57,50,10.4
"Hardin","TN",60986,4.1,47.9,51.9,13.4
"Hawkins","TN",62646,8.5,61.3,45.2,8.9
"Haywood","TN",57788,8,54.7,47.7,11.5
"Henderson","TN",59657,5.7,55.3,46.8,10.8
"Henry","TN",58459,4.7,58.2,46.8,11.5
"Hickman","TN",75569,3.6,64.7,39,8.6
"Houston","TN",63221,5.6,59,46.9,10.2
"Humphreys","TN",67336,9.9,67.1,41.7,8.7
"Jackson","TN",53771,8.2,61.8,48.3,10.5
"Jefferson","TN",71650,6,61.8,40.7,10
"Johnson","TN",57720,4.6,46.7,52.9,12.8
"Knox","TN",87883,4.1,73,31.1,7.9
"Lake","TN",51503,7.6,46.7,52.8,14.2
"Lauderdale","TN",54650,6.7,56.1,47.6,10.2
"Lawrence","TN",61904,7.9,59.5,41.8,13.1
"Lewis","TN",55096,5.4,52.7,49.7,13.2
"Lincoln","TN",73514,4.9,69.8,35.4,9.6
"Loudon","TN",86632,3.3,70.1,42,8.9
"Macon","TN",59171,5.1,59.5,42.4,9.8
"Madison","TN",70209,7,60.8,40.6,10.3
"Marion","TN",66659,5.5,65.3,42.2,8.5
"Marshall","TN",72793,5.9,70.9,35.9,7.6
"Maury","TN",83583,2.9,70.6,32.2,9.2
"McMinn","TN",67880,5.5,58,46.1,10.9
"McNairy","TN",57349,6,57.1,45.7,10.1
"Meigs","TN",63522,8.6,55,45.7,12.2
"Monroe","TN",60449,6.2,56.3,48.8,10
"Montgomery","TN",78761,5.8,73.3,33.7,8.2
"Moore","TN",78556,4,68.4,37.2,9.1
"Morgan","TN",64863,8.6,54,46.2,11.7
"Obion","TN",60557,4.9,60.4,45.9,8.6
"Overton","TN",60383,3.5,64,44.7,7.9
"Perry","TN",68126,9.1,50.8,48.7,15.7
"Pickett","TN",55769,4.9,59.3,54.5,6.9
"Polk","TN",70442,6.6,57.2,42.4,15.1
"Putnam","TN",65852,4.9,67,38.7,8.7
"Rhea","TN",62933,8.4,58.9,43.5,11.6
"Roane","TN",81932,5.3,65.8,44.9,7.8
"Robertson","TN",84210,4.9,69,32.5,8.9
"Rutherford","TN",90719,4,74.5,25.9,9.2
"Scott","TN",49645,9.9,49,52.7,11.8
"Sequatchie","TN",61515,4.5,58.7,45.8,12.1
"Sevier","TN",73428,4.4,57,42.6,14.1
"Shelby","TN",83841,7.6,63.9,35.6,11.9
"Smith","TN",75385,4.5,63.9,41,8.2
"Stewart","TN",65279,4.6,65.1,42.3,9.4
"Sullivan","TN",72115,6.7,61.9,45.1,9.1
"Sumner","TN",95807,3.7,71.9,32,8
"Tipton","TN",79500,5.2,69.3,36.6,8.5
"Trousdale","TN",65949,3,63.8,38.3,9
"Unicoi","TN",60033,5.2,59.1,47.8,8.3
"Union","TN",67551,5.8,58.3,44.8,8.7
"Van Buren","TN",55158,3.9,48.7,46.3,18.3
"Warren","TN",62369,3.5,55.8,43.2,14
"Washington","TN",75625,5.1,67.9,35.8,9.7
"Wayne","TN",61269,5.6,59.6,42.6,12
"Weakley","TN",59560,3.8,62.5,39.6,11.9
"White","TN",59670,5.8,57.7,44.6,11.6
"Williamson","TN",156064,2.3,86.2,18.9,4.6
"Wilson","TN",105808,3.8,75.4,28.4,7.2
"Anderson","TX",64877,4,56.8,38.6,16.9
"Andrews","TX",100517,2.9,59.5,23.1,23.7
"Angelina","TX",66650,6.3,53.1,39.1,19.2
"Aransas","TX",81683,8.2,58.8,45.3,16
"Archer","TX",89349,3.2,66.5,35.2,16.8
"Armstrong","TX",84193,1,74.9,29.7,8.5
"Atascosa","TX",78218,6.3,58.6,31.8,19.5
"Austin","TX",84574,5.5,63.8,32.7,15.4
"Bailey","TX",74148,2.3,46.2,33.3,32.4
"Bandera","TX",84354,6.7,65,43.2,15.4
"Bastrop","TX",92057,4,64.3,29.4,18.6
