"county","state","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Cooper","MO",17397,51.8,48.2,2.2,22.2,17.7,88.2,5.9
"Crawford","MO",23204,49.3,50.7,2.1,22.7,19.6,94.9,0.5
"Dade","MO",7584,51,49,3.2,20.8,23.7,94,0.4
"Dallas","MO",16946,48.5,51.5,1.7,24.5,20.4,96.1,0.1
"Daviess","MO",8427,50.4,49.6,2.4,25.7,20.4,96.5,0.6
"DeKalb","MO",11639,60.3,39.7,2.4,18.6,17.7,87.7,8.4
"Dent","MO",14585,49.7,50.3,2.7,22.9,21.7,93.2,0.7
"Douglas","MO",11808,51.2,48.8,2.7,22.2,24.2,94.7,0.3
"Dunklin","MO",28592,47.3,52.7,2.1,26.1,17.7,82,10.4
"Franklin","MO",104331,50.1,49.9,1.9,23,17.5,94.1,0.8
"Gasconade","MO",14803,50.6,49.4,2.3,20.8,22.4,95.8,0.7
"Gentry","MO",6231,49.1,50.9,3,24.7,19.1,96.3,0.3
"Greene","MO",296875,48.9,51.1,2,21,16.4,88.7,3
"Grundy","MO",9901,49.3,50.7,3.4,25,21.1,94.3,0.4
"Harrison","MO",8229,50.2,49.8,3.7,24.6,21.9,96.4,0.8
"Henry","MO",21884,49.6,50.4,2.6,22,21.8,94.1,1
"Hickory","MO",8429,49.7,50.3,3.3,17.5,32.4,95.8,0
"Holt","MO",4295,49.3,50.7,5.6,20.7,25.2,96.2,1.4
"Howard","MO",10147,50.2,49.8,2.2,22.1,19.5,89.1,5.5
"Howell","MO",39753,48.6,51.4,2.4,24.2,19.5,94.7,0.4
"Iron","MO",9606,50.1,49.9,3.3,21.5,21.6,93.6,0.5
"Jackson","MO",713229,48.6,51.4,1.9,23.7,15,65.3,22.9
"Jasper","MO",122059,49,51,1.7,25.1,15.5,87.8,1.9
"Jefferson","MO",225913,50,50,1.5,23.2,15.2,92.3,0.9
"Johnson","MO",53889,51.5,48.5,1.8,21.6,12.5,87.5,3.3
"Knox","MO",3782,50.1,49.9,1.7,23.8,21.3,95.9,0.5
"Laclede","MO",35898,49.5,50.5,1.8,25.1,17.9,93,0.5
"Lafayette","MO",32752,50.3,49.7,1.9,23.4,18.7,92.9,2.4
"Lawrence","MO",38123,50.1,49.9,2.4,25.8,17.8,91.8,0.1
"Lewis","MO",10031,50.7,49.3,2.6,22.3,19.3,93,3.6
"Lincoln","MO",58689,50.3,49.7,1.3,25.6,13.6,93.7,2.3
"Linn","MO",11962,49,51,1.9,23.9,21,96.4,0.7
"Livingston","MO",15001,44.2,55.8,3.8,21.7,19.2,92.5,2.7
"Macon","MO",15222,49.6,50.4,3.2,23.5,21.8,93.3,2.1
"Madison","MO",12597,49.3,50.7,1.6,23.6,18.6,96.4,0.8
"Maries","MO",8457,50.3,49.7,2.4,20.6,21.8,95.9,0.3
"Marion","MO",28564,48.7,51.3,2.5,23.7,17.8,91.1,4.4
"McDonald","MO",23267,51.1,48.9,1.2,25.3,15.7,77.4,1.9
"Mercer","MO",3561,50.2,49.8,4.5,23.9,21.7,95.6,0.4
"Miller","MO",24643,49.7,50.3,2.3,23.8,18.7,95.9,0.8
"Mississippi","MO",12976,54.9,45.1,1.9,21.5,18,72.1,24.1
"Moniteau","MO",15723,52.2,47.8,2.3,25,15.9,92.4,3.5
"Monroe","MO",8643,50.5,49.5,3.3,22.4,23.6,93.5,3.1
"Montgomery","MO",11384,50.1,49.9,2,22.3,20,93,1.6
"Morgan","MO",20883,49.7,50.3,2.9,23.3,23.2,94.8,1
"New Madrid","MO",16658,47.7,52.3,1.6,23.5,18.9,79.5,13.2
"Newton","MO",58634,49.9,50.1,1.9,24,18,85.7,1.2
"Nodaway","MO",21571,50,50,2.1,16,15,93.2,2.7
"Oregon","MO",8891,49.6,50.4,2.5,23.6,22.8,95,0.1
"Osage","MO",13372,51.8,48.2,2.7,22.8,17.3,98.1,0.2
"Ozark","MO",8664,49.9,50.1,2.3,19.4,27.7,95.8,0.1
"Pemiscot","MO",15949,47,53,2.1,26.1,16.9,69.1,26.5
"Perry","MO",19007,49.3,50.7,2.4,23.6,18.4,95.5,0.5
"Pettis","MO",42919,49.8,50.2,2.2,25.1,16.6,88.9,2.6
"Phelps","MO",44692,52.2,47.8,1.9,21.3,16.1,88.6,2.1
"Pike","MO",18052,54.3,45.7,1.4,22.9,17.7,89.2,6.6
"Platte","MO",105189,49.6,50.4,1.7,23.8,14.9,82.5,6.6
"Polk","MO",31541,49.5,50.5,2.4,23.2,17.5,93.2,1.3
"Pulaski","MO",53460,56.9,43.1,1,22,9.1,74.4,10.9
"Putnam","MO",4715,51.2,48.8,2.4,23.2,24.5,96.4,0.3
"Ralls","MO",10318,51,49,2.4,21.5,21.4,94.4,1.9
"Randolph","MO",24880,52.8,47.2,1.9,21.8,16.1,88.9,6.1
"Ray","MO",23080,50,50,2,22.8,18.2,94.3,1.1
"Reynolds","MO",6138,52.8,47.2,2.7,18.8,23.3,93.2,1.3
"Ripley","MO",11032,49.1,50.9,1.9,23.8,20.3,95.2,0.3
"Saline","MO",23278,49.8,50.2,2.7,23.1,18,83.7,4.9
"Schuyler","MO",4094,48.2,51.8,1.8,26,18.8,96.5,0.3
"Scotland","MO",4760,49.5,50.5,4.4,29.2,18.4,97.6,0
"Scott","MO",38161,48.9,51.1,2,24.2,18.2,84.1,10.7
"Shannon","MO",7185,50.6,49.4,1.3,22,21.5,93.8,0.2
"Shelby","MO",6087,50.7,49.3,2.5,24.5,21.3,95,2.5
"St. Charles","MO",402377,49.4,50.6,1.6,23.3,15.3,87.7,4.6
"St. Clair","MO",9235,50.3,49.7,3.2,20.5,26.6,93.9,0.6
"St. Francois","MO",67168,53.8,46.2,1.9,21.3,16.4,91.8,3.5
"St. Louis","MO",1001982,47.8,52.2,2.5,22.2,18,65.3,24.2
"St. Louis city","MO",302787,48.7,51.3,1.7,19,13.9,46.3,44.8
"Ste. Genevieve","MO",18406,51.2,48.8,2,21.6,20,96.3,0.8
"Stoddard","MO",28812,48.8,51.2,2.1,22.2,19.7,95.8,1.4
"Stone","MO",31018,49.3,50.7,3.6,16.6,30.7,95.8,0.1
"Sullivan","MO",6045,49.7,50.3,3.1,23.6,19.7,86.4,2.3
"Taney","MO",55854,48,52,2.4,21.3,21.9,91.4,1.9
"Texas","MO",24866,52.8,47.2,2.2,21.3,20.5,91.4,2
"Vernon","MO",19831,48.9,51.1,1.8,24.5,19.4,95.4,0.3
"Warren","MO",35033,49.6,50.4,1.4,23.6,17.5,91.5,1.8
"Washington","MO",23791,51.7,48.3,1.5,23.4,16.4,94.5,2
"Wayne","MO",11298,49.9,50.1,2.3,20.7,23.8,94.6,0.5
"Webster","MO",38978,51.4,48.6,1.2,27.3,15.5,94.3,0.5
"Worth","MO",2004,50.1,49.9,4.1,20.2,25.3,98.1,0.9
"Wright","MO",18244,49.2,50.8,2.6,26.1,19.7,94.8,0.2
"Adams","MS",29927,48.3,51.7,1.7,21.4,18.7,40.2,52.9
"Alcorn","MS",34964,49,51,2.3,23.1,18.2,82.6,10.6
"Amite","MS",12718,49.9,50.1,2.3,20.7,23.6,57.5,40.8
"Attala","MS",18025,48,52,2.1,25.2,19,53.2,43
"Benton","MS",7687,49.6,50.4,1.3,21,18.6,60.8,32.1
"Bolivar","MS",31301,46.9,53.1,1.8,24.9,15.8,30.5,63.5
"Calhoun","MS",13420,48.9,51.1,2.1,23.4,19,64.6,28.4
"Carroll","MS",10053,52.1,47.9,3.5,18.8,23.9,64.4,35.5
"Chickasaw","MS",17100,48.8,51.2,1.7,25,17.7,50,44.7
"Choctaw","MS",8264,49.6,50.4,2.4,21.7,21.7,68,29.9
"Claiborne","MS",9115,47.2,52.8,1.9,21.2,17,10.9,87.1
"Clarke","MS",15678,46.7,53.3,1.4,22.2,20.6,63.9,34.7
"Clay","MS",18768,47.9,52.1,2.3,23,18.4,38.4,60
"Coahoma","MS",21839,46.3,53.7,2.3,27.1,15.3,20.5,75.6
"Copiah","MS",28453,47.5,52.5,1.5,23,17.6,44.1,51.3
"Covington","MS",18491,49.3,50.7,1.5,24.6,17,61.7,36.1
"DeSoto","MS",183220,48.3,51.7,1,25.6,12.9,63.1,29.5
"Forrest","MS",77743,47.7,52.3,1.6,23.5,13.6,58.6,36.7
"Franklin","MS",7705,51,49,1.3,23.3,20.1,62.4,35.8
"George","MS",24260,50.5,49.5,1.5,26.7,14.6,88.9,8
"Greene","MS",13653,60,40,1.3,19.3,13.9,72.6,25
"Grenada","MS",21621,49.3,50.7,1.9,24.2,17.6,53,44.5
"Hancock","MS",45911,48.7,51.3,1.8,20.4,20.5,85.8,7
"Harrison","MS",207382,49.2,50.8,1.6,24.1,15,65.7,25.2
"Hinds","MS",230772,47,53,1.7,24.2,14.4,24.3,73
"Holmes","MS",17243,48,52,1.3,25.4,15.4,15.1,84.3
"Humphreys","MS",7916,47.2,52.8,1.3,26.3,16.8,20.1,78
"Issaquena","MS",1111,65.7,34.3,1.1,12.5,20.5,32.9,63.7
"Itawamba","MS",23863,49.9,50.1,2.1,22.1,17.3,90.8,7
"Jackson","MS",142993,49.6,50.4,1.4,23.4,16.1,69.9,20.7
"Jasper","MS",16406,48.8,51.2,1.8,22.9,20,44.3,54.2
"Jefferson","MS",7286,48,52,1.7,22.9,16.3,13,83.3
"Jefferson Davis","MS",11372,48.2,51.8,1.6,20.1,22.7,37.5,61.6
"Jones","MS",67374,49,51,2.2,25.3,16.8,67.7,29.5
"Kemper","MS",9211,51.2,48.8,1,18.8,20.8,33.6,62.1
"Lafayette","MS",55727,48.8,51.2,1.2,18.6,13.1,70.6,23.4
"Lamar","MS",63610,47.7,52.3,1.2,24.8,13.9,75.1,20.6
"Lauderdale","MS",73756,48.7,51.3,1.9,23.6,17.1,53.1,43.7
"Lawrence","MS",12055,49.3,50.7,2.1,24.6,18,64.5,32.6
"Leake","MS",21452,50.5,49.5,1.6,25.9,16.3,47.8,41.8
"Lee","MS",83388,48,52,1.3,25.3,14.8,65.2,29.8
"Leflore","MS",28555,47.2,52.8,2,27.5,14.3,21.7,74.7
"Lincoln","MS",34910,47.4,52.6,1.2,23.5,16.9,67.7,30.6
"Lowndes","MS",58904,47.7,52.3,1.5,24,15.8,51.8,44.5
"Madison","MS",108248,48.3,51.7,1.4,25,13.3,56.7,37.8
"Marion","MS",24609,47.3,52.7,2.4,23.5,18.4,64.3,32.8
"Marshall","MS",34031,49.9,50.1,1.3,21,17.7,48.6,46.4
"Monroe","MS",34448,48.1,51.9,1.9,22.7,19.5,67.9,30.4
"Montgomery","MS",9948,43.5,56.5,1.6,22.9,21.7,52.1,43.9
"Neshoba","MS",29153,47.4,52.6,1.7,28,16.1,57.9,22.6
"Newton","MS",21385,48,52,1.6,24.6,16.2,59.7,31.1
"Noxubee","MS",10410,46,54,2.1,24.8,16.6,25.7,73
"Oktibbeha","MS",51339,49.8,50.2,1.5,17.8,11.6,56.4,36.4
"Panola","MS",33300,48.3,51.7,1.6,25.1,15.9,48.1,48.7
"Pearl River","MS",55972,49.3,50.7,2.2,22.7,18.7,82.5,12.8
"Perry","MS",11611,50.2,49.8,1.4,22.4,18.1,80,13.8
"Pike","MS",40262,47.5,52.5,1.6,26.2,16.8,43,54.1
"Pontotoc","MS",31136,48.3,51.7,1.5,26.8,14.9,75.9,15.5
"Prentiss","MS",25022,48.5,51.5,1.6,22.7,17.4,82.1,11.4
"Quitman","MS",6327,46.9,53.1,1.6,23,17.6,25.4,72.9
"Rankin","MS",156052,48.5,51.5,1.6,23,15.4,73.8,21.5
"Scott","MS",28062,49.9,50.1,1.2,27.3,15.5,55,36.3
"Sharkey","MS",4160,46.4,53.6,1.3,23.5,18.2,26.9,72.4
"Simpson","MS",26064,48.6,51.4,2.7,23.8,17.8,61.3,36.7
"Smith","MS",14483,48.4,51.6,1.8,23.5,19.7,74.4,23.9
"Stone","MS",18356,51.2,48.8,2,21.6,16.8,78.3,16
"Sunflower","MS",26295,53.7,46.3,1.5,22,13.8,23.5,75.6
"Tallahatchie","MS",12917,57.9,42.1,1.1,19.7,15.3,34.6,61.5
"Tate","MS",28123,48.3,51.7,1.5,23.1,16.3,66.9,30
"Tippah","MS",21877,48.9,51.1,1.2,24.5,16.3,76.9,15.5
"Tishomingo","MS",18945,48.7,51.3,1.9,21.8,20.4,92.8,2
"Tunica","MS",9949,48.5,51.5,0.9,28.9,13.3,18.6,79.9
"Union","MS",27775,49.3,50.7,1.7,25.4,16.5,77.8,15.6
"Walthall","MS",13981,49.6,50.4,1.4,23.4,19.6,52.7,43.9
"Warren","MS",45141,48.3,51.7,1.6,24.2,17,47.4,48.9
"Washington","MS",45616,46.6,53.4,1.6,25.9,16.5,24.9,72.1
"Wayne","MS",19824,47.9,52.1,0.8,24.6,17.1,57.2,38.5
"Webster","MS",9938,48.4,51.6,1.7,24.3,18.3,79,19.2
"Wilkinson","MS",8706,54,46,2.8,21.1,17.6,28.3,69.1
"Winston","MS",17846,48.2,51.8,2.2,22.5,20.4,50.1,47.6
"Yalobusha","MS",12586,47.4,52.6,1.2,22.3,20.4,59.8,37.6
"Yazoo","MS",27924,59,41,1.6,21.4,12.8,37.4,59.3
"Beaverhead","MT",9391,49.7,50.3,2.1,17.2,22.4,93.5,0.9
"Big Horn","MT",13198,49.2,50.8,1.2,34,12.7,28.3,0
"Blaine","MT",7051,49.9,50.1,1.9,30.3,15.3,43.7,0.8
"Broadwater","MT",6641,52.5,47.5,0.7,19.1,23.3,95.4,0
"Carbon","MT",10488,51.3,48.7,2.4,17.8,25.8,95.5,0.7
"Carter","MT",1349,52.7,47.3,4.4,17.5,28.7,96.4,0
"Cascade","MT",84178,50.8,49.2,2.5,22.8,18.5,86,1.5
"Chouteau","MT",5896,50.6,49.4,2.5,23.3,21.6,77.2,0.1
"Custer","MT",11968,50.1,49.9,2.1,20.2,20.2,92.4,0.8
"Daniels","MT",1739,51.2,48.8,5.4,21.2,29.2,93,0
"Dawson","MT",9003,53.1,46.9,1.9,21,19.7,95.1,1
"Deer Lodge","MT",9380,53,47,1.9,13.6,23.9,91.9,0.9
"Fallon","MT",3074,48.6,51.4,2.7,24.8,17.6,93.5,0
"Fergus","MT",11464,52.5,47.5,2.9,20.1,24.2,93.3,0.6
"Flathead","MT",103400,50.1,49.9,1.7,21.9,19.6,92.7,0.4
"Gallatin","MT",116725,52,48,1.1,19.8,12.7,92.1,0.4
"Garfield","MT",972,50.8,49.2,2,21.7,20.1,99,0.4
"Glacier","MT",13827,49.8,50.2,1.3,29.8,12,30.8,0.3
"Golden Valley","MT",820,49.9,50.1,1.5,16.7,26,86.5,1.1
"Granite","MT",3333,50.9,49.1,1.5,17.9,29.9,95.3,0.2
"Hill","MT",16297,50.5,49.5,1.3,28.1,14.9,69,0.6
"Jefferson","MT",12057,51,49,1.8,20.5,21.9,93.4,0.4
"Judith Basin","MT",2004,56.8,43.2,1.5,23.5,23.1,91.9,0
"Lake","MT",31030,49.7,50.3,1.7,23.4,22.1,65.4,0.4
"Lewis and Clark","MT",70340,49.8,50.2,1.6,21.6,18.9,92.6,0.5
"Liberty","MT",2026,43.6,56.4,6.3,26.2,20.3,99,0
"Lincoln","MT",19674,50.1,49.9,2.9,18.4,29,93.2,0.1
"Madison","MT",8499,52,48,3,15.6,29.5,94.9,0
"McCone","MT",1805,53.2,46.8,4,18.9,27.8,93.6,0
"Meagher","MT",1932,55.4,44.6,1.5,17.5,32,91.6,0.1
"Mineral","MT",4490,52.3,47.7,2.3,19.4,28.2,92.9,0.6
"Missoula","MT",117379,50.2,49.8,1.6,18.7,15.8,89.8,0.5
"Musselshell","MT",4813,50.8,49.2,1.5,19.1,27.7,93.3,0
"Park","MT",17072,50.4,49.6,2.5,17.2,23,94.4,0.4
"Petroleum","MT",434,51.8,48.2,1.2,17.5,21,94,0
"Phillips","MT",4233,50.9,49.1,2.6,23.7,22,83.4,0
"Pondera","MT",5974,50.2,49.8,2.7,23.7,20.5,81.5,0.3
"Powder River","MT",1759,48.2,51.8,4.6,20.4,25.5,92,0
"Powell","MT",6955,62.9,37.1,1.4,15.1,20.1,89.4,1.4
"Prairie","MT",1227,52.3,47.7,3.8,23.6,31.7,97.1,0
"Ravalli","MT",43790,50.1,49.9,2.1,19.1,25.7,92.5,0.3
"Richland","MT",11375,50,50,1.6,25.5,16.1,90.8,0.1
"Roosevelt","MT",10884,50,50,1.1,34.1,11.3,33.9,0.2
"Rosebud","MT",8464,51,49,1.4,28,16.2,51.7,0.3
"Sanders","MT",12298,51.9,48.1,3.1,17.6,31.3,91.5,0.3
"Sheridan","MT",3522,51.8,48.2,4.5,20.7,21.8,92.3,0
"Silver Bow","MT",35017,51.5,48.5,1.6,20.6,19.1,92.6,0.2
"Stillwater","MT",8916,50.7,49.3,2.1,21.6,23.1,94.7,0.1
"Sweet Grass","MT",3690,51.8,48.2,2.4,20.5,26.1,95.1,2.2
"Teton","MT",6173,49.3,50.7,3,24.8,22.1,93.2,0.6
"Toole","MT",5013,56.6,43.4,2.4,20.1,18,88.3,2.9
"Treasure","MT",693,52.7,47.3,2.6,16.9,26,97.7,0
"Valley","MT",7553,51.9,48.1,1.7,23.5,22.5,84.7,0.3
"Wheatland","MT",2082,45.2,54.8,2.5,20.8,29.3,95.3,0.5
"Wibaux","MT",1018,48,52,3.4,26.2,23.2,96.3,0
"Yellowstone","MT",163593,49.5,50.5,2.1,23.6,17,88.3,0.9
"Alamance","NC",169185,47.7,52.3,2.1,22.3,16.7,67.4,19.7
"Alexander","NC",36491,50.9,49.1,2.3,20.3,20.2,87.7,5.1
"Alleghany","NC",10910,49.2,50.8,3.3,17.1,27.5,93.7,1.7
"Anson","NC",22388,50.5,49.5,1.9,20.6,18.7,46.4,48.9
"Ashe","NC",26598,49.2,50.8,2.8,17.4,25.8,95.8,0.9
"Avery","NC",17747,55.3,44.7,1.9,14.5,21.8,90.2,4.1
"Beaufort","NC",44898,47.7,52.3,2.3,20,23.7,70.7,24.3
"Bertie","NC",18105,50.8,49.2,2.3,17.2,23.3,34.9,61.3
"Bladen","NC",30105,47.9,52.1,2.2,20.7,22,57.1,34.9
"Brunswick","NC",133789,48.3,51.7,1.9,15,31.9,83.4,9.1
"Buncombe","NC",266981,48.2,51.8,2.8,18.5,20.1,86.4,5.8
"Burke","NC",87829,50.2,49.8,2.7,18.6,20.2,83.3,6.2
"Cabarrus","NC",221200,49,51,1.5,25.6,13.1,67.6,19.3
"Caldwell","NC",80705,49.6,50.4,2.1,20.3,20.1,87.8,4.2
"Camden","NC",10353,51.4,48.6,1.1,23.1,15.7,81.2,10.6
"Carteret","NC",67944,49.4,50.6,2.4,17.5,25.2,88.5,4.4
"Caswell","NC",22785,51,49,2,18.6,21.7,62.4,32.3
"Catawba","NC",159852,49.2,50.8,1.9,22.2,17.7,77.5,8.1
"Chatham","NC",75070,47.7,52.3,3.1,20,24.5,76.6,11.4
"Cherokee","NC",28515,49.1,50.9,2.7,16.4,30,92.7,1.4
"Chowan","NC",13796,47.5,52.5,4.1,20.6,26,60.1,34.7
"Clay","NC",10997,48,52,1.5,16.9,30.7,93.8,2.4
"Cleveland","NC",98898,48.2,51.8,2.1,22.3,18.3,73.6,20.3
"Columbus","NC",51474,49.8,50.2,2.2,21,19.8,60.9,29.2
"Craven","NC",101405,50.2,49.8,2.1,21.7,19.4,69.4,21.4
"Cumberland","NC",333582,49.8,50.2,1.3,25,12,46.6,37.2
"Currituck","NC",27575,50,50,1.3,22.2,16.5,87.6,5.8
"Dare","NC",36718,50.3,49.7,1.6,18.7,21.9,88.9,3.7
"Davidson","NC",168002,49.1,50.9,1.9,22,18.1,83.3,9.6
"Davie","NC",42543,48.8,51.2,1.9,21.4,20.8,86.8,4.6
"Duplin","NC",49836,49.2,50.8,2.2,24.1,18.5,65.5,22
"Durham","NC",320146,48,52,1.4,20.6,13.3,48.9,35.2
"Edgecombe","NC",49609,46.6,53.4,2.1,22.8,19.8,38.7,56.8
"Forsyth","NC",380583,47.6,52.4,1.9,23.1,16,62.4,25.9
"Franklin","NC",67598,49.8,50.2,1.3,22.1,16.8,65.9,23.7
"Gaston","NC",226097,48.5,51.5,1.6,22.7,16,74.2,17.1
"Gates","NC",10584,48.4,51.6,2.9,19.8,20.8,63,30
"Graham","NC",8089,47.5,52.5,3.2,20,23.7,86.3,0.2
"Granville","NC",60854,51,49,1.8,20.6,17.1,59.6,29.5
"Greene","NC",20524,55.6,44.4,1.6,20.2,16.7,53.5,34.5
"Guilford","NC",537113,47.6,52.4,1.9,22.4,15.2,52.5,34.4
"Halifax","NC",49291,48.5,51.5,2.3,21.6,20.9,38.6,51.7
"Harnett","NC",133074,49.8,50.2,1.2,26,12.6,65.4,21.2
"Haywood","NC",61695,48.7,51.3,2.7,18.2,24.5,93.4,0.7
"Henderson","NC",115613,48.3,51.7,3,18.9,25.7,88.5,3.4
"Hertford","NC",22010,49.9,50.1,2.1,18.7,20.4,34.4,59.1
"Hoke","NC",52169,49.6,50.4,1.2,27.4,10.4,43.4,33.2
"Hyde","NC",4697,53.9,46.1,0.3,20.4,20.6,61.8,28.1
"Iredell","NC",183965,49.6,50.4,1.6,23,15.8,78.6,11.9
"Jackson","NC",42983,49.3,50.7,1.8,16.9,19.9,81.2,2.1
"Johnston","NC",211320,49.3,50.7,1.3,25.4,13.3,72.5,16.2
"Jones","NC",9326,50,50,1.9,18.8,23,62.3,27.8
"Lee","NC",62676,48.8,51.2,2.1,24.2,16.4,70.9,19.2
"Lenoir","NC",55344,48.3,51.7,2.9,22.8,19.8,52.5,39.6
"Lincoln","NC",85670,49.8,50.2,1.7,21.2,18,87.8,5
"Macon","NC",36532,49,51,2.9,18,28.3,91.8,1.4
"Madison","NC",21269,49.3,50.7,1.6,18.2,22.3,93.8,1.5
"Martin","NC",22213,47,53,2.5,20.6,23.3,53.3,42.3
"McDowell","NC",44527,50,50,2.5,20.1,20.4,89.7,3.2
"Mecklenburg","NC",1100984,48.3,51.7,1.3,23.5,11.3,49.9,31.4
"Mitchell","NC",14951,49.7,50.3,3.6,18.4,24.6,94.2,0.3
"Montgomery","NC",25891,48.2,51.8,2.1,21.9,20.3,70.7,17.4
"Moore","NC",98618,48.8,51.2,2.6,21.7,23.7,79.4,10.7
"Nash","NC",94628,48.1,51.9,2.3,22.1,18.2,50.1,40.7
"New Hanover","NC",225175,47.8,52.2,2,18.4,17.9,79.6,12.6
"Northampton","NC",17917,49.4,50.6,3,17.6,26.3,39.2,54.9
"Onslow","NC",201597,55.6,44.4,0.9,24.4,9.3,72.1,14.3
"Orange","NC",147376,47.7,52.3,1.2,19.4,14.4,73.2,11.1
"Pamlico","NC",12293,50.8,49.2,3.2,15,29.8,76.1,18.9
"Pasquotank","NC",40240,49.1,50.9,2.3,22.1,17.1,57.1,36.3
"Pender","NC",59964,50.5,49.5,1.9,22.4,17.7,76.6,13.5
"Perquimans","NC",13002,47.8,52.2,2.8,19,27.5,72.4,22.8
"Person","NC",38999,48.4,51.6,2.1,20.9,19.9,66.7,25.9
"Pitt","NC",170600,47.2,52.8,1.3,21.5,13.4,55.3,35.2
"Polk","NC",19413,47.1,52.9,3.8,16.2,30.5,90.6,4.8
"Randolph","NC",143735,49.6,50.4,1.9,22.6,17.7,83.1,6
"Richmond","NC",43301,48.8,51.2,1.5,23.5,17.6,58.7,31.8
"Robeson","NC",118836,48.4,51.6,1.2,25.2,15.2,25.7,23.1
"Rockingham","NC",90903,48.5,51.5,2.2,20.4,20.4,73.7,18.4
"Rowan","NC",145784,49.6,50.4,1.9,22.3,17.4,75.1,16.2
"Rutherford","NC",64592,48.5,51.5,2,20.5,21.5,85,9.1
"Sampson","NC",59468,49.4,50.6,1.8,24.7,17.9,58.4,25.3
"Scotland","NC",34345,49.4,50.6,1.7,23,17.8,42.2,38.6
"Stanly","NC",62148,50.6,49.4,2.4,21.8,19,82.8,11.7
"Stokes","NC",44588,48.9,51.1,2.7,18.9,20.9,92.2,3.9
"Surry","NC",71439,48.9,51.1,2.5,21.4,20.4,88.5,3.9
"Swain","NC",14166,48.4,51.6,2.4,23.1,18.8,63.2,0.8
"Transylvania","NC",32979,48.5,51.5,3.8,15.8,30.1,90.8,4.4
"Tyrrell","NC",3436,56.4,43.6,2.9,14.6,22.6,57.9,36.4
"Union","NC",235699,49.5,50.5,1.2,26.7,12.6,76.6,11.4
"Vance","NC",42650,46.9,53.1,1.7,24,18.4,41.1,47.9
"Wake","NC",1112883,48.9,51.1,1.2,23.8,11.8,62.5,19.9
"Warren","NC",18889,49.7,50.3,3.3,18.2,25.6,38.4,49.4
"Washington","NC",11183,49.4,50.6,3.5,20.4,25.1,44.7,48.9
"Watauga","NC",54077,49.4,50.6,1.4,12.8,16.2,93.2,1.8
"Wayne","NC",117692,49.3,50.7,1.6,23.9,16.4,60.1,30.5
"Wilkes","NC",66335,49.9,50.1,2.5,20.4,21.6,89.4,3.9
"Wilson","NC",78844,47.5,52.5,1.9,23.2,18.3,48.4,39.8
"Yadkin","NC",37198,50.1,49.9,2.3,21,19.7,89.3,3.3
"Yancey","NC",18357,49.5,50.5,2.9,18.5,25.9,94.7,0.6
"Adams","ND",2237,51.4,48.6,5.2,23,26.6,93.9,1.7
"Barnes","ND",10869,50.6,49.4,3.1,20,22.1,91.1,1.8
"Benson","ND",6090,51,49,1.1,36.2,13.4,38.2,0.2
"Billings","ND",839,52.4,47.6,4.5,22.9,24.1,100,0
"Bottineau","ND",6442,52.2,47.8,1.9,22,23.1,91.3,0.3
"Bowman","ND",3024,50.3,49.7,2.2,24.7,21.9,94.4,0
"Burke","ND",2177,53.6,46.4,2.4,26,19.5,93,0.7
"Burleigh","ND",97895,50.1,49.9,2.2,23.7,16.2,87.7,2.3
"Cass","ND",182992,50.6,49.4,1.6,22.7,12.2,85.1,6.1
"Cavalier","ND",3725,52.4,47.6,4.5,22,27.3,93.6,0.1
"Dickey","ND",5013,50.1,49.9,4.3,24.4,20.3,95.3,0.5
"Divide","ND",2196,50.6,49.4,5.8,23,24.7,90.7,3.3
"Dunn","ND",4054,54.1,45.9,2.4,23.1,17.8,81.1,0.7
"Eddy","ND",2378,52.4,47.6,5.9,22.4,26.8,90.5,0
"Emmons","ND",3316,50.6,49.4,5.8,19.2,28.7,97.5,0.2
"Foster","ND",3396,50.1,49.9,4.9,22.8,22.6,95.4,0.3
"Golden Valley","ND",1812,47,53,2.7,20.8,23.1,91.4,0.1
"Grand Forks","ND",73101,51.9,48.1,1.7,21.4,12.7,84.4,4.1
"Grant","ND",2351,52.2,47.8,5.7,21.9,29.8,94.8,0
"Griggs","ND",2242,49.4,50.6,4.5,20.6,30.2,96.6,0
"Hettinger","ND",2502,46.4,53.6,3.6,20.5,23.7,92.6,0.6
"Kidder","ND",2397,55.2,44.8,2.5,25.2,23.2,93.7,0.5
"LaMoure","ND",4173,52.3,47.7,4.2,23.2,26.2,95.7,0.5
"Logan","ND",1814,50.1,49.9,5,20.9,27.7,96.7,0.1
"McHenry","ND",5420,51.5,48.5,2.8,23.8,20.6,96.4,0.6
"McIntosh","ND",2568,49.6,50.4,6.6,18.1,30.7,95.4,0.6
"McKenzie","ND",13762,54,46,0.5,32.4,8.7,80.2,1.9
"McLean","ND",9788,51.6,48.4,2.4,22.3,23.4,88,0.6
"Mercer","ND",8405,51.3,48.7,2.6,23.3,20,92.1,0.2
"Morton","ND",32916,50.3,49.7,1.9,23.2,16.4,89.6,1.2
"Mountrail","ND",9717,54,46,1.5,28.7,11.2,60,1.8
"Nelson","ND",3035,49.5,50.5,6.4,20.4,25.9,93.4,0.4
"Oliver","ND",1850,53,47,1.4,25.1,24,91.8,0
"Pembina","ND",6912,52,48,3.6,21.6,23.6,93.2,0.7
