"county","state","prop_higher_education","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Breathitt","KY","16.9",49166,9.4,42.3,65.3,3.5,13652,50.4,49.6,1.1,21,17.3,96.2,1
"Breckinridge","KY","14.2",65695,7.7,61.8,50.1,5.3,20345,49.8,50.2,1.7,22.8,19.1,95.1,2
"Bullitt","KY","16.1",80413,4.7,74.6,36.8,3.5,81729,50.1,49.9,1.5,21.8,15.9,94,1.1
"Butler","KY","13.8",58784,5.5,55.7,49.8,9.7,12413,50.7,49.3,2.1,23.1,18.2,96.4,0.6
"Caldwell","KY","17.1",70179,5.1,63.3,42.5,9.6,12641,48.5,51.5,3.6,22.7,21.1,91.9,6.5
"Calloway","KY","31.6",62766,4.6,67.2,40.8,6.6,37291,48.9,51.1,1.8,18.2,16.9,90.7,3.5
"Campbell","KY","38.7",91974,4.1,76.1,31.4,3.8,93023,49.4,50.6,1.7,20.9,16,92.9,2.6
"Carlisle","KY","12.5",69442,3.1,48.7,57.4,7.4,4821,50.3,49.7,3,23.3,20.2,94.9,0.8
"Carroll","KY","6.6",66946,7.7,55.8,43.5,9.6,10808,51.4,48.6,1.3,26.4,15.4,89.7,3.5
"Carter","KY","12.9",57755,5.2,49.1,54.3,9.5,26820,49.3,50.7,1.9,22.8,18.8,96.4,0.4
"Casey","KY","11.6",52149,9.7,46.2,55.7,11.2,15863,48.2,51.8,1.7,23.1,20.4,95.8,0.9
"Christian","KY","18.3",64296,7.9,61.5,43.5,8.4,72377,53.1,46.9,1.6,27.2,12.3,70,19.7
"Clark","KY","20.1",80725,4.6,64.5,46.2,4.5,36716,48.8,51.2,2.2,22.5,17.7,91.5,4.3
"Clay","KY","11.5",45279,10.2,35.8,69.3,5.5,20484,52.9,47.1,1.6,21.3,15.8,91.9,5.3
"Clinton","KY","13.8",52592,4.6,47.2,61,6.6,9372,50.5,49.5,2.7,21.5,19.6,95.9,0.4
"Crittenden","KY","12.9",63787,3.1,58.2,46.5,10.5,8997,50.8,49.2,2,22.5,20.1,95.9,0.7
"Cumberland","KY","13.4",47686,3.8,48.8,55,10.9,6023,48.9,51.1,2.2,21.8,21.3,91.6,2.6
"Daviess","KY","25.0",78267,4.2,67.9,41,5,102488,49,51,2,24.6,17,88.4,4.7
"Edmonson","KY","10.2",56360,7.5,54.9,51.4,8.7,12165,51.3,48.7,2,19.3,20.6,94.9,1.6
"Elliott","KY","8.9",47393,5.2,41.9,62.3,8.6,7414,56.8,43.2,1.2,18,19.9,96.1,3.4
"Estill","KY","10.6",48876,7.1,45.1,61.6,6,14157,50,50,2,22.1,18.8,96.3,0.1
"Fayette","KY","45.6",88901,4.9,70.9,33.1,6.8,321354,49.2,50.8,1.4,21,13.5,72.8,14.6
"Fleming","KY","15.7",62007,8.2,54.4,50.5,9.3,14996,49.5,50.5,1.7,24.4,17.6,95.5,1.5
"Floyd","KY","12.6",51233,9.1,45.5,63.1,4.3,36127,48.9,51.1,1.6,22.2,18.3,96.9,0.9
"Franklin","KY","29.6",78841,4.8,69.4,39.7,7.1,51319,48.4,51.6,1.3,21,17.7,82,9.5
"Fulton","KY","13.7",43326,6.7,43.7,64.6,6.2,6507,50.8,49.2,1.8,21.7,21,71.6,22.3
"Gallatin","KY","10.4",66412,4.3,59.3,39.2,10.7,8694,51.4,48.6,1.8,24.3,13.8,90.2,2.3
"Garrard","KY","20.5",74954,4.1,61.8,44.8,7.3,17018,49.5,50.5,1.9,21.6,18,93.5,2.4
"Grant","KY","15.0",72149,4.2,63.9,43.9,4.5,24918,49,51,1.6,27.4,13.6,93.7,0.1
"Graves","KY","18.0",65097,4.8,58.1,49.2,6.6,36796,48.6,51.4,2.1,24.3,18.2,88.5,4.1
"Grayson","KY","11.4",57535,4.4,55.1,52.2,5.6,26351,49.7,50.3,1.4,24.1,17.5,96.2,0.3
"Green","KY","13.9",55977,8.6,47.5,59.5,8.1,11141,50.1,49.9,1.7,21.6,19.7,95.1,1.8
"Greenup","KY","16.8",74508,5.6,67.1,45.6,5.4,35996,49,51,2.4,21.6,20.9,96,0.9
"Hancock","KY","15.3",73583,5,69.5,40,4.7,9050,51.4,48.6,1.7,24.7,16.8,95.5,1.4
"Hardin","KY","22.6",81485,6.6,70.8,40.9,5.2,110134,49.9,50.1,1.4,24.7,14,78.1,11.8
"Harlan","KY","9.5",44343,12.6,37.4,68.7,5.4,26921,48.2,51.8,1.8,23.3,18.2,94.9,2.2
"Harrison","KY","17.5",68904,3.3,63.5,46.7,4.9,18690,49.2,50.8,2.2,22.8,18.2,94.7,1.5
"Hart","KY","10.6",58422,5,52.3,49.3,10.1,19194,49.6,50.4,1.4,24.8,16.1,92.7,4
"Henderson","KY","18.0",67408,3.2,65,45.7,3.6,45102,48.2,51.8,1.4,22.9,17.8,86.9,7
"Henry","KY","13.8",75035,5.4,58.3,46.1,10.1,15691,49.6,50.4,1.5,23.8,17.2,92,2.7
"Hickman","KY","24.4",78380,6,59.4,54.2,4.7,4529,48.1,51.9,3.8,19.9,24.2,86,8.8
"Hopkins","KY","16.5",62007,7.2,60.6,48.4,5.7,45432,49,51,1.5,23,18.4,89.5,6.1
"Jackson","KY","9.1",46089,7.2,47.4,56.7,7,13029,50.7,49.3,1.1,23.1,17.4,97.9,0.3
"Jefferson","KY","35.0",86099,5.3,68.7,39.6,5.3,780449,48.6,51.4,1.9,22.2,16.2,69,22
"Jessamine","KY","29.6",95154,4.6,69.4,39.2,6.2,53016,48.6,51.4,1.7,24,15.1,89.7,4.4
"Johnson","KY","16.1",57071,6.6,49.8,60.2,4.8,22794,49.4,50.6,1.6,22.2,18.1,97.1,0.8
"Kenton","KY","35.5",91344,4.2,72.2,33.3,5.4,168264,49.7,50.3,1.4,23.8,14.5,88.9,4.5
"Knott","KY","16.0",44884,11.3,37.6,69.4,6.5,14506,49.6,50.4,1.4,20,18.7,97.1,1
"Knox","KY","15.3",47979,9,39,64.9,6,30367,48.5,51.5,1.9,23.7,16.9,95.9,0.9
"Larue","KY","16.9",64528,3,65,44.4,5.7,14768,50,50,1.5,22,17.2,93.2,3.4
"Laurel","KY","15.4",61824,5.1,53.2,51.7,7.9,62090,49.4,50.6,1.6,23.3,16.4,96.5,0.7
"Lawrence","KY","12.2",53890,5.3,46.9,60.7,6.7,16274,49.5,50.5,2.1,23.9,18.8,97.7,0.1
"Lee","KY","7.9",46637,7.5,43.8,65.2,2.6,7263,56.7,43.3,2.2,19.8,17.8,95.1,1.3
"Leslie","KY","9.2",46525,7.4,37.4,69.3,2.8,10622,50.7,49.3,1.2,21.1,17.9,97.1,0.4
"Letcher","KY","10.3",50795,10,42.4,68.1,3.7,21784,49.6,50.4,1.3,22,19.3,97.5,0.4
"Lewis","KY","8.8",46004,8,47.8,59.7,5.2,13103,50.4,49.6,2,23.1,18.4,97.4,0.1
"Lincoln","KY","13.7",56415,5.9,53.2,52.1,7.6,24314,49.2,50.8,1.8,23.9,18.3,93.9,2
"Livingston","KY","14.6",67799,6.8,60.3,47.9,5,8989,49.1,50.9,1.2,20.6,21.9,96.6,0.7
"Logan","KY","16.9",64357,5.4,61.4,43.6,8.7,27319,48.9,51.1,1.8,23.9,18.4,90,6.2
"Lyon","KY","14.3",70676,3.2,64.5,47.6,5.3,8700,54.7,45.3,2.5,14.1,26.1,91.7,5
"Madison","KY","33.4",73760,6.1,67.1,39.8,5.5,92194,49,51,1.3,20.9,13.8,90.6,4.1
"Magoffin","KY","10.9",48464,11.2,44.4,64.2,5.1,11818,50.3,49.7,2.1,22.9,17.5,97.9,0
"Marion","KY","14.1",60075,5.6,64.5,48.9,2.9,19556,50.6,49.4,1.7,23.8,16.4,89.3,6.9
"Marshall","KY","21.4",74072,3.5,65.7,43.6,6.5,31662,49.7,50.3,2.4,20.6,21.7,96.6,0.9
"Martin","KY","11.8",53281,7.5,48.1,58.7,5.5,11394,56,44,1.6,19.8,16.6,90,5.3
"Mason","KY","22.2",77694,3.7,57.5,48.2,7.6,17103,49.4,50.6,1.8,23,18.3,88.4,6.2
"McCracken","KY","26.7",76696,3.9,61.3,47.4,5.5,67394,48.1,51.9,2.2,22.4,19.8,84,10.4
"McCreary","KY","7.0",44600,6.9,43.1,66.1,3.6,17044,55.1,44.9,0.8,23,15.7,89.9,6.4
"McLean","KY","17.4",74408,6.1,68.5,41.7,3.8,9182,49.9,50.1,1.7,23.5,19.4,96.7,1.3
"Meade","KY","17.3",81630,5.1,69.6,42.1,4.2,29735,50.6,49.4,1,22.5,14.3,91,3.8
"Menifee","KY","11.1",52019,5.4,42.2,62.5,6.6,6149,54,46,1.7,23.2,19.3,98.5,0.2
"Mercer","KY","20.1",65944,5.3,65.2,44.7,6,22470,49.3,50.7,2.2,22.1,18.8,92.5,3.8
"Metcalfe","KY","13.8",53572,3.3,59.3,52.3,4.2,10275,49.3,50.7,1,23.7,18.7,95.3,2.1
"Monroe","KY","14.8",58856,4.4,52.9,52.9,6.3,11269,50.2,49.8,1.7,23.1,18.4,94.7,2.1
"Montgomery","KY","16.7",58521,6.8,55.5,50.1,6,28084,48.8,51.2,1.5,23.7,16.4,93.9,2.7
"Morgan","KY","15.3",57478,4.2,47.9,55.5,8.1,13772,57,43,1.5,18.9,17.3,92.6,3.4
"Muhlenberg","KY","12.0",71723,5.9,59.2,52.3,4.9,31011,49.5,50.5,1.5,20.8,20.6,92.3,4.5
"Nelson","KY","20.8",81819,3.8,73.2,36.4,5.7,46440,50.1,49.9,1.8,23.8,16,91.6,5.1
"Nicholas","KY","9.2",58653,4.1,56.9,54.3,4.8,7517,49.4,50.6,1.6,23.4,17,95.9,1.2
"Ohio","KY","14.6",62781,4.5,60.2,48.7,5.8,23861,50.3,49.7,1.8,23.8,17.7,95.1,1.2
"Oldham","KY","44.4",142091,3.8,84.9,23.5,3,67586,52.7,47.3,0.7,25.5,13.2,89.5,3.8
"Owen","KY","18.1",69230,4,62.7,42,8.1,11160,51,49,2.1,22.3,18.8,95,0.5
"Owsley","KY","11.5",44426,15.7,34.6,73.3,3.6,4094,47.9,52.1,1.9,20.1,22.5,89.7,2
"Pendleton","KY","16.0",67821,5,62.4,45.3,4.4,14625,51.6,48.4,1.1,23.7,15.9,95,0.7
"Perry","KY","14.0",63079,10.6,48,62.3,4.8,28421,49.7,50.3,1.3,23.5,16.6,95,1.1
"Pike","KY","15.7",54314,8.5,54.1,57.5,5.3,58914,48.8,51.2,1.5,20.9,18.8,96.9,0.8
"Powell","KY","16.5",54593,7.5,57,51.3,6.1,13050,50.6,49.4,1.8,24.3,15.5,94.8,0.3
"Pulaski","KY","17.2",64568,5.6,55.6,53.2,6.4,64717,48.8,51.2,2.3,22.6,18.7,95.7,0.9
"Robertson","KY","13.7",69328,8.6,50.4,54.9,7,2196,44.8,55.2,2.5,24.2,17.1,98.8,0.3
"Rockcastle","KY","12.1",57950,7.2,52.6,56.4,5.1,16167,49.2,50.8,2,21.8,18.1,97.5,0.1
"Rowan","KY","25.8",68101,4,60.8,45.6,5.5,24654,47.9,52.1,1.3,19.6,13.8,95.6,1.9
"Russell","KY","16.2",55231,6.8,51.5,56.8,5.7,17909,49.2,50.8,1.8,23.3,19.7,94,1.3
"Scott","KY","29.7",90553,3.2,77.7,27.7,5,56267,49.2,50.8,1.2,25.2,12.4,87.6,4.7
"Shelby","KY","28.8",93442,3.7,69.5,35.2,7.7,47523,48.8,51.2,1.3,22.7,16,83.1,6.4
"Simpson","KY","13.8",63920,4.1,62.4,43.6,7,19324,49.3,50.7,1.2,24.2,16.5,85.7,9.1
"Spencer","KY","22.4",103694,5.7,79,30,3.9,19256,50.7,49.3,0.6,23,14.1,95.6,1.7
"Taylor","KY","21.8",69766,6.3,65.3,46.9,3.3,25948,49.1,50.9,1.8,23.3,17.4,91.4,4.6
"Todd","KY","14.7",71577,3.4,49.1,40.3,20.7,12206,50.2,49.8,1.8,26.8,16.3,87.1,7.8
"Trigg","KY","21.0",66814,4.9,61.3,47.1,10.9,14067,49.7,50.3,1.3,22.3,22.5,89.2,7.2
"Trimble","KY","14.7",68832,9.3,64.1,44.8,5.4,8502,50.6,49.4,1,21.3,17.7,94.3,0.2
"Union","KY","10.1",61614,3.9,69.3,40,5.5,13786,52,48,1.3,18.2,16.8,82.9,14.6
"Warren","KY","32.3",81129,4.7,68,38.5,5.7,133216,49.3,50.7,1.1,23,12.8,80.1,8.6
"Washington","KY","20.7",73199,4.6,63.2,39.8,10.4,11957,49.7,50.3,2.3,23.3,18.3,89.5,5.9
"Wayne","KY","15.9",59407,6.1,50.5,55.1,7.8,19743,49.5,50.5,1.6,20.7,20.3,93.2,1.1
"Webster","KY","10.0",61141,5.3,62.5,44,5.9,12994,49.6,50.4,1.3,23.4,17.3,89.9,3.7
"Whitley","KY","19.7",57293,6.6,50.4,54.1,7.6,36578,49.5,50.5,1.9,25.4,15.6,96.5,1
"Wolfe","KY","6.6",33514,27,34.6,82.3,1.2,6666,51.3,48.7,1.9,22.8,19,97,0.1
"Woodford","KY","39.6",87170,2.6,75.7,36.3,4,26758,46.9,53.1,1.3,22.2,18.5,90.9,4
"Acadia Parish","LA","13.6",63690,9.8,55.8,47.4,7.5,58200,49.5,50.5,1.4,26.1,15.3,78.7,16.6
"Allen Parish","LA","12.1",62809,9.2,55.1,49.9,7.2,23085,57.1,42.9,1.4,22.2,14.2,74.8,18.1
"Ascension Parish","LA","28.7",101698,4.8,72.7,31.2,5.8,125289,49.4,50.6,1.1,26.8,11.9,68.8,22.8
"Assumption Parish","LA","10.8",66379,8.2,57.1,45.1,9.1,21366,47.5,52.5,2,21.9,18.8,66.3,29.7
"Avoyelles Parish","LA","12.3",56204,8.1,47.7,57.6,7.8,39880,50.6,49.4,2,23.5,16.5,65.1,27.2
"Beauregard Parish","LA","18.3",75621,8.5,60.7,46.1,6.8,36417,51.2,48.8,1.3,25,15.6,82.2,12.1
"Bienville Parish","LA","12.5",49046,5.3,43,59.1,10.6,13130,47.4,52.6,2.1,22.8,20.4,54.4,42.2
"Bossier Parish","LA","26.8",78327,5.9,67.3,37.5,9.2,128508,49.4,50.6,1.9,24.9,14.1,68.8,23.5
"Caddo Parish","LA","24.0",69702,8.6,54.6,50.8,7.5,239775,47.5,52.5,2.3,23.9,17.2,45,49
"Calcasieu Parish","LA","23.8",81883,5.4,61.5,42.2,7.7,212646,49.1,50.9,1.6,25.2,14.8,69,25
"Caldwell Parish","LA","12.1",71589,11.5,44,60.1,7.3,9707,52.3,47.7,1.3,23.1,18.2,79.1,19.6
"Cameron Parish","LA","17.1",85982,0.7,65.8,39.5,9.6,5650,49.8,50.2,0.9,23.9,15.9,92.9,1.2
"Catahoula Parish","LA","15.5",59266,9.7,53.1,50,10,9117,52.2,47.8,1.6,21.7,16.4,66.1,32.6
"Claiborne Parish","LA","12.2",46845,5.2,49.9,57.6,8.5,14456,57.3,42.7,2.4,17.8,19.1,45,52
"Concordia Parish","LA","15.5",59080,12.3,42.7,61.8,9.3,18989,51,49,1.8,23.4,17.6,56.9,40.1
"De Soto Parish","LA","14.4",65443,8.9,53.4,54,7.6,26803,49,51,1.6,24.2,17.7,61.1,34.9
"East Baton Rouge Parish","LA","37.5",88696,7.2,64.2,38.1,8.5,455447,48,52,1.5,22.9,14.4,45.3,45.4
"East Carroll Parish","LA","10.2",60718,7.8,36.5,74.4,4.9,7502,55.3,44.7,2,21.4,15.8,28.4,67.2
"East Feliciana Parish","LA","15.9",82906,6.2,61.4,43.6,8.2,19588,55.6,44.4,1,17.7,18.3,54.4,41.6
"Evangeline Parish","LA","12.6",51805,13.6,44.7,57.4,10.2,32538,51.6,48.4,1.3,24.8,15.2,66.2,26.5
"Franklin Parish","LA","14.8",56381,8.8,47.5,58.3,7.4,19964,48.8,51.2,0.8,25.3,18,65.3,33.1
"Grant Parish","LA","11.5",67779,4.3,53.5,48.3,10.6,22236,56.9,43.1,1.4,20.6,14.6,79.3,15.9
"Iberia Parish","LA","14.5",67584,7.8,52.8,51,8.6,70518,49.4,50.6,1.7,25.8,15.2,59.2,31.5
"Iberville Parish","LA","15.7",70509,8.5,58.5,43.4,8.4,30651,50.6,49.4,1.3,20.4,15.9,47.9,46.9
"Jackson Parish","LA","12.4",57862,4.5,51.8,54.9,7,15214,51.2,48.8,2.5,21.7,20.3,67,26.7
"Jefferson Davis Parish","LA","16.5",69070,5.6,60.4,44.6,7.9,32270,49.2,50.8,2,25.7,16.1,78,16.3
"Jefferson Parish","LA","28.7",81436,6,56.6,44.2,10.5,439402,48.6,51.4,2,22.3,17.3,58.2,26.9
"LaSalle Parish","LA","17.0",73793,6.3,62.6,45.2,5.4,14770,52.8,47.2,1.1,23.3,16.8,83.7,12
"Lafayette Parish","LA","33.9",87196,5.2,67,35,8,241173,48.8,51.2,1.5,23.9,13.4,66.8,25.7
"Lafourche Parish","LA","17.3",78030,6.1,63,43.6,6.7,97677,49.4,50.6,1.9,23.3,15.6,78.1,13.4
"Lincoln Parish","LA","37.6",61954,3.8,62.4,40.5,7.3,48415,49,51,2.1,20.1,13.6,54.8,38
"Livingston Parish","LA","20.3",84712,4.4,65.6,35.3,8.6,141057,49.5,50.5,1.1,25.7,13.2,87.7,6.7
"Madison Parish","LA","15.1",51699,10.6,38.9,64.9,8.4,10297,49.3,50.7,1.2,23.5,14.4,34,63.5
"Morehouse Parish","LA","11.5",49475,9.2,47,55.7,8.2,25852,48.5,51.5,2.5,24.3,19,48.6,48.7
"Natchitoches Parish","LA","21.6",57012,13.3,52.5,52.6,7.9,37896,48.2,51.8,1.9,23.3,16.6,51.9,42.6
"Orleans Parish","LA","39.1",76715,8.4,54.1,45.3,8.8,383974,47.5,52.5,1.7,20,15.2,32.7,58.1
"Ouachita Parish","LA","24.8",68925,5.9,56.7,47.4,8.1,160227,48,52,1.7,24.9,14.9,58.1,37.6
"Plaquemines Parish","LA","17.1",87409,5,66.1,41.2,5.4,23536,49.5,50.5,1.4,26,13.5,65.3,20.5
"Pointe Coupee Parish","LA","15.2",71244,5.6,58.1,51,9.1,20951,49.1,50.9,2.3,21.9,20.8,62.7,34.2
"Rapides Parish","LA","21.5",70834,6.3,56.5,48.5,9.1,130459,48.6,51.4,1.9,24.9,16,62.3,31.2
"Red River Parish","LA","12.4",56600,3.8,45.4,54.3,11,7787,49.6,50.4,1.9,24,18.7,56.4,42.1
"Richland Parish","LA","15.4",56698,6.2,41.7,59.9,9.6,20110,49.4,50.6,2.2,23.4,17.4,61.4,35.8
"Sabine Parish","LA","12.8",57324,9.6,50.9,54,9.6,22377,49.8,50.2,1.9,23.5,20.6,67.6,14.5
"St. Bernard Parish","LA","14.7",69140,8.5,50.2,49.8,8.8,43821,48.9,51.1,1.3,26.6,11.6,66.7,24
"St. Charles Parish","LA","28.4",96227,6.6,68.7,34.7,6.6,52411,50.2,49.8,1.6,24.6,13.7,67,26.2
"St. Helena Parish","LA","12.4",55013,26.2,46.7,52.9,10.5,10881,47.9,52.1,1.1,20.9,19.5,46,51.3
"St. James Parish","LA","18.3",76433,5.2,64.2,41.2,7.6,20390,48.3,51.7,1.8,22.8,17.6,49.3,49.4
"St. John the Baptist Parish","LA","16.0",79062,10.6,57.1,46.1,7,42704,49.2,50.8,1.7,25,14.5,35.2,57.6
"St. Landry Parish","LA","14.7",58461,6.5,54.1,47.7,8.9,82999,48.5,51.5,1.8,26.8,16.1,55,40.6
"St. Martin Parish","LA","14.9",65294,6.6,54.4,48.1,8.8,52222,49.3,50.7,1.5,24.2,15.4,66.3,29.3
"St. Mary Parish","LA","12.2",58902,7.4,48.4,57.5,5.7,49818,49.5,50.5,2.1,24.1,16.8,58.4,30.1
"St. Tammany Parish","LA","36.4",96341,5.2,67.9,36.8,7,262799,48.9,51.1,1.8,24,17.1,79.7,11.9
"Tangipahoa Parish","LA","21.2",71523,5.8,55.6,47.1,8.5,132492,48.6,51.4,1.2,24.6,14.6,65.3,30
"Tensas Parish","LA","13.4",46205,16.7,32.4,67.6,11.3,4269,48,52,0.7,22.7,25.2,42.3,53.1
"Terrebonne Parish","LA","16.5",76880,6.7,61,42.9,7.2,110100,49.4,50.6,1.5,25.4,14.6,68.4,19
"Union Parish","LA","16.6",67700,6.8,52.3,51.6,9.2,21272,50.4,49.6,2.3,22,20.4,70.1,24.3
"Vermilion Parish","LA","17.4",71211,6.5,59.9,43.3,7.9,57775,48.9,51.1,2,25.6,15.3,79.7,14
"Vernon Parish","LA","18.6",68109,6.7,64,43.3,8.1,49064,53.2,46.8,1.3,24.9,12.3,75.5,14
"Washington Parish","LA","10.7",55825,10.3,46.2,57.9,9.1,45794,49.9,50.1,1.9,23.9,18.2,66.5,30.8
"Webster Parish","LA","14.4",46887,4.7,50.1,56.9,7.6,37356,49.1,50.9,1.8,22.9,19.5,62.9,34.2
"West Baton Rouge Parish","LA","20.9",82317,7.7,66.2,36.9,6.7,27064,48.8,51.2,1.2,23.7,13.9,57.5,40.9
"West Carroll Parish","LA","11.4",57106,5.1,49,58.3,7.5,9959,50.8,49.2,2.5,23,18.8,79.7,16.1
"West Feliciana Parish","LA","22.8",90085,9.5,61,41.2,6.6,15334,67.2,32.8,0.8,16.3,15,53,44.4
"Winn Parish","LA","14.0",65458,5.1,53.6,48.7,9.3,13875,53.7,46.3,1.2,20.8,17.8,65.1,32.2
"Barnstable","MA","44.9",112642,4.5,74.2,47.4,3.3,227942,48.3,51.7,4.3,15,30.6,88.9,2.9
"Berkshire","MA","36.1",89580,5.3,71.3,46,2.4,129089,48.7,51.3,3.4,16.9,23.3,88.7,2.7
"Bristol","MA","29.3",96851,5.7,69.2,42.4,3.1,576070,48.7,51.3,2.4,20.8,16.8,81.5,4.1
"Dukes","MA","46.1",128534,7.2,68.5,46.7,6.2,20277,49.5,50.5,3,17.9,24,83.3,4.6
"Essex","MA","41.2",119443,5.5,71.6,39.2,3,804598,48.5,51.5,2.5,21.3,17,75.5,4.4
"Franklin","MA","38.8",84134,5.5,71,45.6,2.3,71085,48.9,51.1,2.4,17.3,22.4,91.3,1.2
"Hampden","MA","28.2",83853,6.6,62.1,48.9,3.1,466265,48.6,51.4,2.4,21.6,16.8,74.4,8.9
"Hampshire","MA","50.2",101706,5.5,81.3,32.1,2.4,161810,46.6,53.4,2,14.7,17.4,85.4,2.5
"Middlesex","MA","57.8",150097,4.5,80.5,28.8,2.7,1623411,49.3,50.7,2.1,19.9,15.2,72.9,5.1
"Nantucket","MA","50.7",153166,8,77.6,35.1,6.1,13795,55.1,44.9,1.9,19.2,15.7,75.8,13.5
"Norfolk","MA","55.5",155586,5.1,82.6,28.5,2,720403,48.5,51.5,2.5,21,16.7,74.4,7.2
"Plymouth","MA","39.3",129447,5.1,76.8,35.9,2.5,527602,48.9,51.1,2.2,21.4,18.1,80.6,9.3
"Suffolk","MA","48.1",116843,6.9,66.6,37.9,3.6,792647,48.4,51.6,1.7,16.6,12,51.6,20.7
"Worcester","MA","38.1",106611,5.5,73.5,37.1,2.4,856858,49.6,50.4,2,21.1,15.7,80,5.2
"Allegany","MD","20.2",65335,6.9,67.1,47.5,4.2,68684,53,47,2.8,17.2,19.8,87.7,8.5
"Anne Arundel","MD","42.9",135094,4.4,81.9,28.3,4.5,584064,49.7,50.3,1.6,22.5,14.8,69.4,16.9
"Baltimore","MD","40.4",109376,5.3,74.2,34.6,5.2,850702,47.6,52.4,2.4,21.9,17.1,57.5,29.6
"Baltimore city","MD","34.2",79399,7.4,59.3,45.9,5.9,592211,47.1,52.9,1.6,20.5,14.1,29.2,61.6
"Calvert","MD","35.7",139436,2.9,84.4,26.4,2.9,92515,49.8,50.2,1.6,23.4,15,79.3,12.4
"Caroline","MD","19.0",85587,5.1,59.5,48.3,6.7,33234,49.2,50.8,1.9,23.8,16.4,77,13.6
"Carroll","MD","38.0",123762,3.2,84.4,27.3,3.1,172148,49.8,50.2,2.1,21.9,16.8,89.7,3.6
"Cecil","MD","25.7",97915,5.4,73.2,36.6,4.1,103370,49.8,50.2,1.5,22.7,15.8,86.2,6.7
"Charles","MD","31.1",124385,4.9,81.8,28.3,4.5,165209,48.3,51.7,1.3,24.1,12.4,40,47.8
"Dorchester","MD","19.9",75871,5.9,59.1,53.8,5.3,32486,47.3,52.7,1.8,21.2,21.6,63.7,25.3
"Frederick","MD","42.3",126132,4.2,81,27.7,4.6,267498,49.5,50.5,1.8,23.4,14.5,76.4,9.6
"Garrett","MD","24.7",83627,4.1,64.5,46.2,5.5,28955,50,50,2.5,18.5,22.4,96.2,1.4
"Harford","MD","37.7",118276,4.1,81.4,29.9,3.5,259162,49.2,50.8,1.8,22.5,16.2,76.6,14
"Howard","MD","63.6",160611,3.8,83.8,24.7,3.9,329248,49.2,50.8,1.6,24.4,13.9,52.7,19.5
"Kent","MD","37.5",88935,4,71,45.2,4,19335,47.7,52.3,3.9,15.9,26,78.6,14
"Montgomery","MD","59.8",161149,4.9,76.9,28.3,6.7,1057201,48.6,51.4,2.1,23.3,15.6,48.8,18.4
"Prince George's","MD","34.9",110651,6.8,68.6,33.3,10.3,957767,48.3,51.7,1.3,22.4,13.5,15,61.5
"Queen Anne's","MD","37.0",126888,3.9,77.3,34.4,4.5,49702,49.8,50.2,1.9,21.5,19.2,86.2,5.7
"Somerset","MD","17.0",60227,9.6,58,51.6,5,24834,54.5,45.5,1.4,17.1,16.6,52.2,40.9
"St. Mary's","MD","33.0",120986,4.5,79.4,29.2,4.3,113209,50.2,49.8,1.4,24.3,12.8,75.2,14.1
"Talbot","MD","41.0",116514,3.6,72.3,46.3,4.3,37510,47.5,52.5,5.1,18.4,29.1,80.4,11.3
"Washington","MD","22.6",87252,5.2,68.7,41.9,4.9,153956,51.1,48.9,2,21.9,17.1,79.9,10.9
"Wicomico","MD","28.8",81907,8,62.5,43.8,6.7,103223,47.9,52.1,1.8,22.1,15.7,63.8,26.1
"Worcester","MD","30.6",99385,6.8,68.4,48,6.3,52322,49,51,3.3,17.3,27.4,81.7,12.4
"Androscoggin","ME","22.9",75977,4.7,67.7,38,7.7,110378,49.1,50.9,1.8,21.7,17.6,90.2,2.8
"Aroostook","ME","20.3",63636,6.2,59.3,48.3,8.6,67272,50,50,3.7,18.5,24.1,94,0.8
"Cumberland","ME","49.8",106756,3.5,77.7,29.8,5.5,300776,48.8,51.2,2,18.6,18.5,89.8,3.2
"Franklin","ME","28.1",73525,5.1,62.7,44.2,10.2,29487,49.4,50.6,2.8,18,22.3,95.5,0.3
"Hancock","ME","35.5",79940,4.1,69.2,38.5,9.9,55417,48.8,51.2,2.8,17.1,25.1,95,0.9
"Kennebec","ME","29.7",75512,4.2,69.9,38.8,7.6,123293,48.9,51.1,2.2,19.3,19.9,94.8,0.7
"Knox","ME","36.3",83899,3.7,67.7,43.4,7.6,40519,50.4,49.6,2.7,17.8,25.3,95.3,0.4
"Lincoln","ME","37.6",84074,3.8,67.2,45.2,9.6,35065,49.2,50.8,3.5,17.2,27.8,95.3,0.4
"Oxford","ME","21.1",67404,5.7,62.2,45.9,8.4,57807,49.9,50.1,2.6,18.3,21.8,95.1,0.3
"Penobscot","ME","30.0",73067,4.5,68.4,38.8,8.1,152211,49.7,50.3,2.1,18.2,18.5,93.3,1
"Piscataquis","ME","20.3",62705,5.5,58.8,49.2,11.9,16760,50.6,49.4,2.5,17.1,26.1,94,0.6
"Sagadahoc","ME","38.2",84598,4.3,73.8,35.9,6.9,36530,49.1,50.9,2.8,18.8,22.6,95.2,0.6
"Somerset","ME","19.9",63379,4.8,58.9,47.8,8.6,50424,49.7,50.3,1.9,19,21.4,96,0.4
"Waldo","ME","32.9",75596,5.1,65.4,42,11.4,39618,49.6,50.4,1.6,18.6,22.9,95.5,0.4
